filename	sentno	begin	end	gender	number	mentions
Nescio_DeUitvreter	5	76	79	m	sg	z'n ouwe heer, mijn ouwe heer, den ouwen heer, de ouwe heer, Hij, hij, hem, m'n ouwen heer, z'n ouwe heer, de ouwe, z'n ouwe heer, Mijn ouwe heer, Hij, zijn ouwe heer, Zijn ouwe heer, zijn ouwe
Nescio_DeUitvreter	5	84	85	n	pl	pakken, die
Nescio_DeUitvreter	6	0	2	n	sg	Z'n naam
Nescio_DeUitvreter	7	0	2	n	sg	Z'n achternaam
Nescio_DeUitvreter	8	8	9	n	sg	Veere, Veere, daar, daar, Veere, Veere, Veere, Veere, Veere, Veere, Veere, Veere
Nescio_DeUitvreter	9	6	7	n	sg	Zeeland, Zeeland
Nescio_DeUitvreter	12	12	14	m	sg	een kerel
Nescio_DeUitvreter	13	10	12	n	sg	den waterkant
Nescio_DeUitvreter	17	7	8	n	sg	Rotterdam, Rotterdam
Nescio_DeUitvreter	18	5	6	n	sg	behoefte
Nescio_DeUitvreter	18	7	9	fm	pl	veel menschen
Nescio_DeUitvreter	19	7	9	n	pl	de havens
Nescio_DeUitvreter	20	3	10	n	sg	de boot tusschen Numansdorp en de Zijpe, De boot
Nescio_DeUitvreter	20	8	10	n	sg	de Zijpe
Nescio_DeUitvreter	21	10	14	n	sg	een flink koudje wind
Nescio_DeUitvreter	21	15	17	n	sg	het water, 't
Nescio_DeUitvreter	22	6	8	n	sg	't voorschip, 't voorschip, daar, 't voorschip
Nescio_DeUitvreter	22	9	11	n	sg	de verschansing, de verschansing, de verschansing, de verschansing
Nescio_DeUitvreter	23	0	6	n	pl	De glazen tochtdeuren op 't voordek
Nescio_DeUitvreter	23	4	6	n	sg	't voordek
Nescio_DeUitvreter	28	3	5	n	sg	z'n bankje
Nescio_DeUitvreter	28	7	9	n	sg	z'n pet, z'n pet, de grijze pet van Japi, z'n pet
Nescio_DeUitvreter	30	1	3	n	sg	Lekker weertje
Nescio_DeUitvreter	31	2	3	m	sg	'm
Nescio_DeUitvreter	31	5	9	n	pl	z'n groote blauwe oogen, z'n groote blauwe oogen
Nescio_DeUitvreter	32	3	6	n	sg	een plons water
Nescio_DeUitvreter	32	9	11	n	pl	de droppels
Nescio_DeUitvreter	32	13	15	n	sg	z'n gezicht
Nescio_DeUitvreter	34	1	3	n	sg	een plof
Nescio_DeUitvreter	34	7	9	n	sg	't water
Nescio_DeUitvreter	35	0	2	m	sg	Een heer
Nescio_DeUitvreter	35	4	10	n	sg	de deur van den glazen salon
Nescio_DeUitvreter	35	7	10	n	sg	den glazen salon
Nescio_DeUitvreter	35	15	17	n	sg	de wind
Nescio_DeUitvreter	36	1	2	fm	pl	We, we, hen, ze, ze
Nescio_DeUitvreter	38	0	2	n	sg	't Gesprek, 't gesprek
Nescio_DeUitvreter	39	3	5	n	pl	de golven
Nescio_DeUitvreter	41	9	11	n	sg	een regenboog
Nescio_DeUitvreter	41	12	14	n	sg	't water, 't water
Nescio_DeUitvreter	42	5	8	n	sg	een eindje regenboog
Nescio_DeUitvreter	42	11	13	n	sg	de lucht
Nescio_DeUitvreter	46	4	5	n	sg	Zierikzee, Zierikzee, Zierikzee, Zierikzee, Zierikzee, Zierikzee, Zierikzee
Nescio_DeUitvreter	49	14	15	n	sg	Amsterdam, Amsterdam, Amsterdam, Amsterdam, Amsterdam, Amsterdam, Amsterdam, Amsterdam, Amsterdam, Amsterdam, Amsterdam
Nescio_DeUitvreter	49	20	22	n	sg	den waterkant
Nescio_DeUitvreter	50	14	16	n	sg	den waterkant
Nescio_DeUitvreter	51	5	7	n	sg	m'n bed
Nescio_DeUitvreter	51	28	30	n	sg	mijn lunch
Nescio_DeUitvreter	52	7	9	n	sg	den waterkant
Nescio_DeUitvreter	56	4	6	n	pl	m'n centen
Nescio_DeUitvreter	57	3	4	n	sg	Amsterdammer
Nescio_DeUitvreter	61	2	5	n	sg	een rare burgermansvraag
Nescio_DeUitvreter	61	17	19	m	sg	een kerel
Nescio_DeUitvreter	65	0	2	n	sg	Het schip
Nescio_DeUitvreter	65	10	12	n	sg	het water
Nescio_DeUitvreter	65	23	24	n	sg	dek
Nescio_DeUitvreter	66	2	4	n	sg	het water
Nescio_DeUitvreter	66	7	9	n	pl	witte koppen
Nescio_DeUitvreter	66	10	16	n	sg	de schaduw van een groote wolk, een drijvend eiland
Nescio_DeUitvreter	66	13	16	n	sg	een groote wolk
Nescio_DeUitvreter	66	23	25	n	sg	de verte
Nescio_DeUitvreter	66	28	30	n	sg	zwarte vrachtboot
Nescio_DeUitvreter	67	8	11	n	sg	de Stad Gent
Nescio_DeUitvreter	68	3	5	n	sg	de verte
Nescio_DeUitvreter	68	5	7	n	sg	het water
Nescio_DeUitvreter	68	10	12	n	sg	de boeg
Nescio_DeUitvreter	68	16	18	n	sg	de schroef
Nescio_DeUitvreter	69	2	7	n	pl	de golven met scherpe kammen
Nescio_DeUitvreter	69	5	7	n	pl	scherpe kammen
Nescio_DeUitvreter	69	20	22	n	sg	de diepte
Nescio_DeUitvreter	69	23	28	n	sg	de weerspiegeling van de wolken
Nescio_DeUitvreter	69	26	28	n	pl	de wolken, de wolken
Nescio_DeUitvreter	70	0	3	n	sg	Een klein sleepbootje
Nescio_DeUitvreter	70	4	6	n	sg	een aak
Nescio_DeUitvreter	70	7	9	n	pl	twee tjalken
Nescio_DeUitvreter	74	0	2	n	sg	Het beste
Nescio_DeUitvreter	74	16	18	fm	pl	domme menschen
Nescio_DeUitvreter	78	2	4	n	sg	't geval
Nescio_DeUitvreter	80	8	10	n	sg	z'n rechterhand
Nescio_DeUitvreter	80	11	13	n	sg	z'n rechterarm
Nescio_DeUitvreter	81	7	9	n	sg	z'n hand
Nescio_DeUitvreter	81	11	13	n	sg	z'n neus
Nescio_DeUitvreter	81	16	17	n	sg	adem
Nescio_DeUitvreter	83	18	20	n	sg	zijn geld
Nescio_DeUitvreter	86	3	5	n	pl	de dingen, ze
Nescio_DeUitvreter	87	3	5	n	sg	één wensch
Nescio_DeUitvreter	87	13	16	n	pl	honger en slaap
Nescio_DeUitvreter	87	18	19	n	sg	kou, de kou
Nescio_DeUitvreter	87	20	21	n	sg	nat
Nescio_DeUitvreter	88	2	5	fm	pl	je groote vijanden
Nescio_DeUitvreter	90	0	2	n	sg	Zoo'n waterplas, die
Nescio_DeUitvreter	91	2	3	n	sg	last
Nescio_DeUitvreter	92	7	9	n	sg	den wind
Nescio_DeUitvreter	92	10	12	n	sg	z'n stok
Nescio_DeUitvreter	95	9	10	n	sg	Middelburg, Middelburg, Middelburg
Nescio_DeUitvreter	95	12	13	n	sg	Arnemuiden
Nescio_DeUitvreter	95	14	17	n	pl	al die oorden
Nescio_DeUitvreter	96	4	6	n	sg	z'n leven
Nescio_DeUitvreter	96	17	19	n	sg	den waterkant
Nescio_DeUitvreter	99	5	7	n	sg	de Zijpe
Nescio_DeUitvreter	99	8	9	n	sg	wal
Nescio_DeUitvreter	99	15	17	n	sg	't Zuidwesten
Nescio_DeUitvreter	99	19	24	n	sg	den dikken toren van Zierikzee, die, Dikke Jan, die oue geduldige dikke Jan, hij, hij, dikke Jan, den toren van Zierikzee
Nescio_DeUitvreter	99	28	30	n	sg	den horizon
Nescio_DeUitvreter	103	8	10	n	sg	de tram
Nescio_DeUitvreter	103	15	17	n	pl	zijn zoolen
Nescio_DeUitvreter	103	19	28	n	pl	de heete keien van een of ander schaduwloos straatje
Nescio_DeUitvreter	103	23	28	n	sg	een of ander schaduwloos straatje
Nescio_DeUitvreter	103	34	36	n	sg	de zon, de zon, Zoo'n zon, hij, ie, hij, hij, ie, de zon, die, de zon, De zon, de zon, ie, de zon, De zon, de zon in de Waal, de zon, de zon, de zon, de zon, ie, de zon, de zon, de zon, de zon, de zon
Nescio_DeUitvreter	103	43	45	n	sg	't leven
Nescio_DeUitvreter	104	7	9	n	sg	z'n wandelstok, z'n wandelstok
Nescio_DeUitvreter	104	33	34	n	pl	twaalven
Nescio_DeUitvreter	105	0	2	fm	pl	De lui
Nescio_DeUitvreter	106	4	6	n	sg	mijn goed
Nescio_DeUitvreter	106	8	10	n	sg	mijn lijf
Nescio_DeUitvreter	107	0	2	n	sg	De zeelucht
Nescio_DeUitvreter	107	3	5	n	sg	mijn boordje
Nescio_DeUitvreter	109	1	2	n	sg	tafel
Nescio_DeUitvreter	111	1	3	n	sg	Die zeelucht
Nescio_DeUitvreter	111	7	8	fm	pl	ze
Nescio_DeUitvreter	112	3	5	fm	pl	zes anderen
Nescio_DeUitvreter	112	7	14	n	sg	't heele liedje van de Nancy Brig
Nescio_DeUitvreter	112	11	14	n	sg	de Nancy Brig
Nescio_DeUitvreter	113	14	15	n	sg	goud, dat
Nescio_DeUitvreter	115	7	9	n	pl	de singels
Nescio_DeUitvreter	116	0	2	n	sg	Z'n mond
Nescio_DeUitvreter	116	12	14	fm	pl	de Zierikzeeënaars, ze, ze, ze, ze
Nescio_DeUitvreter	116	31	32	m	sg	jongeheer
Nescio_DeUitvreter	116	44	46	n	sg	den schouder
Nescio_DeUitvreter	116	49	51	n	pl	zijn zijen
Nescio_DeUitvreter	117	6	11	fm	sg	't welwillende beschaafde Hollandsche publiek, zij
Nescio_DeUitvreter	117	39	42	n	sg	't kleinste dorp
Nescio_DeUitvreter	117	44	47	fm	pl	dominees en pastoors
Nescio_DeUitvreter	117	49	51	fm	sg	't volk
Nescio_DeUitvreter	118	5	7	n	sg	een karrepaard
Nescio_DeUitvreter	118	16	18	n	sg	een kracht
Nescio_DeUitvreter	118	19	21	n	sg	een bedrevenheid
Nescio_DeUitvreter	118	22	25	n	sg	de plompste kinkel
Nescio_DeUitvreter	120	0	2	fm	pl	De Zeeuwen
Nescio_DeUitvreter	121	6	8	n	sg	't Eenigste
Nescio_DeUitvreter	121	13	14	fm	sg	je
Nescio_DeUitvreter	121	15	16	n	sg	Walcheren, Walcheren
Nescio_DeUitvreter	121	21	23	n	sg	een relletje
Nescio_DeUitvreter	123	3	6	fm	pl	Bavink en Japi, ze, elkaar, ze
Nescio_DeUitvreter	123	11	12	n	sg	jijden
Nescio_DeUitvreter	124	5	10	n	sg	't dak van 't Hospitaal
Nescio_DeUitvreter	124	8	10	n	sg	't Hospitaal, 't Hospitaal
Nescio_DeUitvreter	124	13	14	n	sg	Walcheren
Nescio_DeUitvreter	124	16	18	n	sg	de Kreek
Nescio_DeUitvreter	124	19	21	n	sg	't Veergat
Nescio_DeUitvreter	124	25	27	n	sg	de Oosterschelde
Nescio_DeUitvreter	124	22	32	n	sg	den ingang van de Oosterschelde en de duinen van Schouwen
Nescio_DeUitvreter	124	28	32	n	pl	de duinen van Schouwen
Nescio_DeUitvreter	124	31	32	n	sg	Schouwen, Schouwen, Schouwen
Nescio_DeUitvreter	125	16	18	n	sg	't Noorden, 't Noorden, 't Noorden
Nescio_DeUitvreter	126	4	5	n	sg	Goes
Nescio_DeUitvreter	126	6	8	n	sg	Lange Jan, Lange Jan
Nescio_DeUitvreter	126	9	13	n	sg	den toren van Middelburg
Nescio_DeUitvreter	126	14	18	n	sg	de spil van Walcheren
Nescio_DeUitvreter	126	19	23	n	sg	het hart dier wereld
Nescio_DeUitvreter	126	21	23	n	sg	dier wereld
Nescio_DeUitvreter	127	1	3	n	sg	't tij, 't tij
Nescio_DeUitvreter	127	11	13	n	sg	't water
Nescio_DeUitvreter	128	4	7	m	sg	de manke havenmeester, ie, ie, 'm, ie, meester, de manke havenmeester
Nescio_DeUitvreter	128	10	13	n	sg	't groene lichtje
Nescio_DeUitvreter	128	15	17	n	sg	't Noorderhoofd
Nescio_DeUitvreter	128	18	20	n	sg	de palenwering
Nescio_DeUitvreter	128	32	35	n	sg	't heele haventje
Nescio_DeUitvreter	128	43	45	n	sg	den toren
Nescio_DeUitvreter	128	49	52	n	sg	het houten hek
Nescio_DeUitvreter	128	55	58	n	sg	de houten trap
Nescio_DeUitvreter	128	62	67	n	sg	't licht aan den toren
Nescio_DeUitvreter	129	7	9	n	sg	een dag
Nescio_DeUitvreter	130	5	9	n	sg	den kant van Schouwen
Nescio_DeUitvreter	130	13	16	n	sg	't draaiende licht, 't draaiende licht van Schouwen
Nescio_DeUitvreter	131	5	6	n	sg	zee
Nescio_DeUitvreter	131	7	9	n	sg	de lichtboei
Nescio_DeUitvreter	132	1	3	n	sg	't water
Nescio_DeUitvreter	133	1	7	n	sg	't laatste licht van den dag
Nescio_DeUitvreter	133	14	21	n	sg	't eerste licht van den nieuwen morgen
Nescio_DeUitvreter	133	18	21	n	sg	den nieuwen morgen
Nescio_DeUitvreter	134	2	5	n	sg	de eene dag
Nescio_DeUitvreter	134	12	13	n	sg	Juni
Nescio_DeUitvreter	135	1	3	n	sg	de aarde, Die, z'n, z'n, de aarde, De aarde, de aarde, ie, de aarde
Nescio_DeUitvreter	135	4	6	n	sg	de zaak
Nescio_DeUitvreter	136	4	6	n	sg	z'n as
Nescio_DeUitvreter	136	8	13	n	sg	z'n baan om de zon
Nescio_DeUitvreter	137	1	4	fm	pl	de menschen erop
Nescio_DeUitvreter	137	13	15	n	pl	de dagen
Nescio_DeUitvreter	137	19	21	n	sg	die moeite
Nescio_DeUitvreter	137	22	24	n	sg	die zorg
Nescio_DeUitvreter	137	25	27	n	sg	dat verdriet
Nescio_DeUitvreter	139	8	11	n	pl	de Walchersche duinen
Nescio_DeUitvreter	139	12	13	n	sg	zee
Nescio_DeUitvreter	142	0	2	fm	pl	De menschen, de menschen, ze, ze, Ze, hen
Nescio_DeUitvreter	144	8	11	n	sg	zijn beste werk, er
Nescio_DeUitvreter	145	14	15	n	sg	pijn
Nescio_DeUitvreter	146	6	8	n	pl	de dingen, ze
Nescio_DeUitvreter	146	19	21	n	sg	zijn prutswerk
Nescio_DeUitvreter	146	23	29	n	sg	zijn akelige knoeierige reproductie dier heerlijkheid
Nescio_DeUitvreter	146	27	29	n	sg	dier heerlijkheid
Nescio_DeUitvreter	147	15	17	n	pl	de dingen
Nescio_DeUitvreter	147	27	29	n	sg	de boel
Nescio_DeUitvreter	148	2	6	n	sg	pijn in zijn schedel
Nescio_DeUitvreter	148	4	6	n	sg	zijn schedel
Nescio_DeUitvreter	148	11	15	n	pl	al zijn vergeefsche pogingen
Nescio_DeUitvreter	148	17	21	n	sg	"zijn "" verdienstelijke werk, Verdienstelijke werk, Verdienstelijke werk"
Nescio_DeUitvreter	153	5	7	n	pl	de dingen
Nescio_DeUitvreter	154	4	6	n	sg	't schilderen
Nescio_DeUitvreter	155	3	5	n	sg	de marteling
Nescio_DeUitvreter	155	32	34	n	pl	de dingen
Nescio_DeUitvreter	156	13	16	n	pl	enorm veel sigaren
Nescio_DeUitvreter	157	3	8	n	pl	oogenblikken van 't hoogste geluk
Nescio_DeUitvreter	157	5	8	n	sg	't hoogste geluk
Nescio_DeUitvreter	157	14	19	n	sg	"al dat "" lekkere mooi"
Nescio_DeUitvreter	157	10	20	n	sg	"het loome wegzinken in al dat "" lekkere mooi """
Nescio_DeUitvreter	158	3	4	n	sg	die
Nescio_DeUitvreter	158	7	8	n	sg	die
Nescio_DeUitvreter	158	12	13	fm	pl	ze, hun, hun, hun
Nescio_DeUitvreter	158	14	16	fm	pl	hun tweeën
Nescio_DeUitvreter	158	18	20	fm	pl	hun drieën
Nescio_DeUitvreter	158	22	24	fm	pl	hun vieren
Nescio_DeUitvreter	160	11	13	n	sg	zijn brits
Nescio_DeUitvreter	160	16	20	n	sg	een klein spatje jenever
Nescio_DeUitvreter	161	6	8	n	sg	het doek
Nescio_DeUitvreter	161	9	11	n	sg	de rest
Nescio_DeUitvreter	162	0	2	n	pl	De dagen, die
Nescio_DeUitvreter	162	22	23	n	pl	sloffen
Nescio_DeUitvreter	163	8	12	n	sg	't een of ander
Nescio_DeUitvreter	163	13	17	n	sg	"de "" vullis """
Nescio_DeUitvreter	163	21	24	n	sg	"een "" doekje"
Nescio_DeUitvreter	163	28	29	fm	pl	ze
Nescio_DeUitvreter	163	30	34	n	sg	't een of ander
Nescio_DeUitvreter	164	4	6	n	pl	die manieren
Nescio_DeUitvreter	166	0	2	n	sg	Z'n kracht
Nescio_DeUitvreter	166	3	5	n	sg	zijn zwakte
Nescio_DeUitvreter	167	9	11	n	pl	de centen
Nescio_DeUitvreter	167	13	15	n	sg	zijn zak
Nescio_DeUitvreter	167	20	22	n	pl	de guldens
Nescio_DeUitvreter	167	23	24	n	pl	riksdaalders
Nescio_DeUitvreter	167	29	31	n	sg	de Kalverstraat
Nescio_DeUitvreter	167	31	33	n	sg	een liedje
Nescio_DeUitvreter	168	5	7	n	sg	zijn hand
