	ids	quote	speaker	speaker_gender	addressee	addressee_gender	addresseetype	ttokenno	begin	end
61	s107	""" Moet ik hier zijn vriend ? """	ik	fm	een_jongmensch_met_een_vierkant_hoofd	fm	implicit	9071	0	7
62	s110	""" Dat staat er nog van vroeger , mijnheer . ""
"	een_jongmensch_met_een_vierkant_hoofd	fm	ik	fm	implicit	9097	0	10
63	s111	""" Ja """	Bekker	m	ik_en_een_jongmensch_met_een_vierkant_hoofd	(pl)	implicit	9116	5	7
64	s113	""" Per me si va nella città dolente . ""
"	ik	fm	ik	fm	implicit	9322	0	9
65	s115	""" Je begrijpt - kerel wat zie je d'r toch goed uit .
 Kom je nu van Algiers ? ""
"	Bekker	m	ik	fm	implicit	9396	0	19
66	s117	""" Waar logeer je , als 't kan , kom ik vanavond om 9 uur bij je . ""
"	Bekker	m	ik	fm	implicit	9428	0	18
67	s119	""" Ik hoop dat je 't dan beter treft . ""
"	Bekker	m	ik	fm	implicit	9490	0	10
68	s122	""" Per me si va tra la perduta gente , Koekebakker . ""
"	Bekker	m	ik	fm	explicit	9599	0	12
69	s124	""" Zeg eens , als je geld noodig hebt ? ""
"	Bekker	m	ik	fm	implicit	9627	0	10
70	s126	""" wat -ie voor die smoessies kocht . ""
"	een_metselaar	fm	Hoyer	m	implicit	9876	7	15
71	s127	""" Wij sociaal democraten weten maar al te goed - ""
"	Hoyer	m	een_metselaar	fm	implicit	9891	6	16
72	s128	""" nou wordt 't interessant """	je	fm		none	none	9917	15	20
73	s131	""" proletarisch sentiment """	Hoyer	m		none	none	9943	13	16
74	s132	""" burgerlijke ideologieën . ""
"	Hoyer	m		none	none	9948	18	22
75	s134	""" 't Is toch mooi dat je alles zoo zeker weten kunt . ""
"	ik	fm	Hoyer	m	implicit	9967	8	21
76	s138	""" 't Chronische tekort in 't huishouden van den werkman , """	Hoyer	m		none	none	10614	7	18
77	s139	""" Godverdomde dingen """	Bavink	m		none	none	10739	5	8
78	s140	""" dan moet 't ook maar gebeuren , """	je	fm		none	none	10757	12	20
79	s142	""" Zie je die zon , Koekebakker ? ""
"	Bavink	m	ik	fm	explicit	11140	0	8
80	s144	""" Je denkt dat ik dronken ben ? ""
"	Bavink	m	ik	fm	implicit	11214	0	8
81	s146	""" Het maakt geen verschil , Koekebakker , als ik nuchter ben , begrijp ik er toch ook niks van . ""
"	Bavink	m	ik	fm	explicit	11228	0	21
82	s148	""" Begrijp jij wat die zon van mij wil ?
 Vier en dertig ondergaande zonnen heb ik tegen de muur staan , achter elkaar , omgekeerd .
 En toch staat -ie daar weer iederen avond . ""
"	Bavink	m	ik	fm	implicit	11250	0	36
83	s149	""" Als er geen wolken zijn , """	ik	fm	Bavink	m	implicit	11287	0	7
84	s152	""" Koekebakker jij bent altijd mijn beste vrind geweest .
 Ik ken jou al - hoe lang al ? ""
"	Bavink	m	ik	fm	explicit	11305	0	19
85	s153	""" Omtrent dertien jaar Bavink . ""
"	ik	fm	Bavink	m	explicit	11325	0	6
86	s154	""" Dertien jaar .
 Dat is lang .
 Weet je wat jij doen moet ?
 Doe me een lol .
 Heb je een hoedendoos ? ""
"	Bavink	m	ik	fm	implicit	11332	0	25
87	s156	""" Doe 'm in een hoedendoos , Koekebakker .
 In een hoedendoos .
 Ik wil met vrede gelaten worden .
 Doe 'm in een hoedendoos , in een ordinaire hoedendoos .
 Hij verdient niet beter . ""
"	Bavink	m	ik	fm	explicit	11361	0	36
88	s157	""" Ik geloof mijnheer , dat u beter doet , als u dezen heer naar huis brengt . ""
"	een_heer	m	ik_en_Bavink	(pl)	anaphoric_pronoun	11428	0	18
89	s158	""" Hij kijkt me maar aan , wij begrijpen geen van beiden wat we van elkaar moeten . ""
"	Bavink	m	ik_en_Hoyer	(pl)	implicit	11544	0	18
90	s160	""" Goed zoo jongens , zoo mal als je bent , ben je me toch liever dan die mooie wijze heeren .
 't Spijt me dat je je nek moet breken en dat ik die heeren moet laten gedijen , maar ik ben ook God maar . ""
"	God	m		none	none	11729	6	53
